θnames,θindices,hullmethod,coverage_median,coverage_mean,coverage_lb,coverage_ub,num_boundary_points,method_key,num_points
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9845984412063707,0.9814044681905666,0.9534702034883721,0.9972361459203565,80,1,80
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9839140934966362,0.9785125404202811,0.9410141987829614,1.0,90,1,90
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9488372093023256,0.9390535526158148,0.863910692482121,0.9854119624008822,90,1,90
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.981191037735849,0.972527542901545,0.921674478598939,0.9970789557465776,90,1,90
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9872203168381513,0.98497197180999,0.9599865771812081,1.0,90,1,90
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9659734133790738,0.9609260003900424,0.9166666666666666,0.9923664122137404,90,1,90
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.985865704772475,0.98231924471412,0.9559358490566038,0.9973049444975799,90,1,90
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.987103614591418,0.9797537055457097,0.9411515453639082,1.0,100,1,100
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.9518651529193698,0.9459032185832936,0.8838315217391304,0.987127214702322,100,1,100
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.9849358174295202,0.9771592653033818,0.9289300434547455,0.997562734521576,100,1,100
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9905660377358491,0.9863684343582437,0.9601966448591954,1.0,100,1,100
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.9693251533742331,0.9656803920546495,0.9282234105763517,0.9922568710359408,100,1,100
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9881481221357962,0.9849023649539819,0.9572277963582312,0.9981086480569239,100,1,100
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.5901639344262295,0.5701109010827791,0.2623121491942785,0.8306155218554861,10,2,10
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.33270440251572325,0.32463684035971374,0.008052002516250786,0.6559090909090909,10,2,10
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.5863117905197113,0.5772561693149264,0.2738229389721627,0.8159476257662742,10,2,10
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.6771409935479322,0.6523862955599757,0.3865417842538732,0.8473143834965302,10,2,10
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.4533185138139092,0.4579362555584326,0.18830754114468187,0.721564039408867,10,2,10
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.6802801024112499,0.6632470419073294,0.4175644705515875,0.8544593293304633,10,2,10
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.8081365828890581,0.7817094128434678,0.5338768350061985,0.9402335487661574,20,2,20
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.5315633924420535,0.49856685378015747,0.05054945054945054,0.7877820760799483,20,2,20
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.7502969121140142,0.735633842335891,0.5023177083333332,0.9176775124218625,20,2,20
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.8516858794078561,0.8344786662886009,0.6683021907216494,0.9457532861476239,20,2,20
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.6916848034822686,0.6855106653039039,0.49521847302130306,0.8493289898652411,20,2,20
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.8327320253001161,0.8182812636294389,0.6457821038251367,0.9354888185236493,20,2,20
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.8906589206543343,0.8657188124077245,0.6930849392542942,0.9646040046482524,30,2,30
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.6526315789473685,0.615896891700781,0.22435897435897434,0.8805031446540881,30,2,30
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.8387410003789314,0.8189874691486881,0.6180997940237022,0.9544024396004063,30,2,30
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9112205801860974,0.8979781626641572,0.7867781682502495,0.9672735116479724,30,2,30
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.7886751402725294,0.777386861216331,0.5966281512605042,0.9118582887700535,30,2,30
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.8964383638296681,0.882153842554782,0.7499203821656051,0.961381644106966,30,2,30
"[:λ, :K]","[1, 2]",MPPHullMethod(),0.9188344594594595,0.89797169138813,0.7421748991935484,0.9805431692353733,40,2,40
"[:λ, :C0]","[1, 3]",MPPHullMethod(),0.7272478632478632,0.6804705619653261,0.24844499586435057,0.9032912626340361,40,2,40
"[:K, :C0]","[2, 3]",MPPHullMethod(),0.8720192693697311,0.8514148659088332,0.6638829201101929,0.9619116823084466,40,2,40
"[:λ, :K]","[1, 2]",ConvexHullMethod(),0.9354838709677419,0.9243348786731406,0.823034188034188,0.9837255482589837,40,2,40
"[:λ, :C0]","[1, 3]",ConvexHullMethod(),0.8371707657421943,0.8278070364568846,0.6862112419167633,0.9334234234234234,40,2,40
"[:K, :C0]","[2, 3]",ConvexHullMethod(),0.9187968285536525,0.9099106358125285,0.8105631868131868,0.9690759069732632,40,2,40
