parameter,find_zero_atol,xtol_rel,optimisation_calls,likelihood_calls
3,1.0e-12,0.0,32,6635
1,1.0e-12,1.0e-20,32,3106
2,1.0e-12,1.0e-20,24,2789
3,1.0e-12,1.0e-20,32,2985
1,1.0e-12,1.0e-19,32,3036
2,1.0e-12,1.0e-19,24,2753
3,1.0e-12,1.0e-19,32,2935
1,1.0e-12,1.0e-18,32,2956
2,1.0e-12,1.0e-18,24,2686
3,1.0e-12,1.0e-18,32,2845
1,1.0e-12,1.0e-17,32,2859
2,1.0e-12,1.0e-17,24,2579
3,1.0e-12,1.0e-17,32,2744
1,1.0e-12,1.0e-16,32,2670
2,1.0e-12,1.0e-16,24,2443
3,1.0e-12,1.0e-16,32,2598
1,1.0e-12,1.0e-15,32,2513
2,1.0e-12,1.0e-15,24,2275
3,1.0e-12,1.0e-15,32,2356
1,1.0e-12,1.0e-14,32,2387
2,1.0e-12,1.0e-14,24,2157
3,1.0e-12,1.0e-14,32,2224
1,1.0e-12,1.0e-13,32,2255
2,1.0e-12,1.0e-13,24,2029
3,1.0e-12,1.0e-13,32,2094
1,1.0e-12,1.0e-12,32,2157
2,1.0e-12,1.0e-12,24,1929
3,1.0e-12,1.0e-12,32,1957
1,1.0e-12,1.0e-11,32,2042
2,1.0e-12,1.0e-11,24,1804
3,1.0e-12,1.0e-11,32,1808
1,1.0e-12,1.0e-10,32,1938
2,1.0e-12,1.0e-10,24,1683
3,1.0e-12,1.0e-10,32,1681
1,1.0e-12,1.0e-9,32,1799
2,1.0e-12,1.0e-9,24,1586
3,1.0e-12,1.0e-9,32,1549
1,1.0e-12,1.0e-8,32,1674
2,1.0e-12,1.0e-8,24,1474
3,1.0e-12,1.0e-8,32,1422
1,1.0e-12,1.0e-7,32,1552
2,1.0e-12,1.0e-7,24,1372
3,1.0e-12,1.0e-7,32,1277
1,1.0e-12,1.0e-6,32,1339
2,1.0e-12,1.0e-6,24,1278
3,1.0e-12,1.0e-6,32,1189
1,1.0e-12,1.0e-5,32,1212
2,1.0e-12,1.0e-5,24,1175
3,1.0e-12,1.0e-5,32,1065
1,1.0e-12,0.0001,33,1057
2,1.0e-12,0.0001,24,1091
3,1.0e-12,0.0001,32,953
1,1.0e-12,0.001,33,891
2,1.0e-12,0.001,24,942
3,1.0e-12,0.001,32,826
1,1.0e-12,0.01,33,715
2,1.0e-12,0.01,24,771
3,1.0e-12,0.01,32,666
1,1.0e-11,0.0,32,6324
2,1.0e-11,0.0,24,5673
3,1.0e-11,0.0,32,6635
1,1.0e-11,1.0e-20,32,3106
2,1.0e-11,1.0e-20,24,2789
3,1.0e-11,1.0e-20,32,2985
1,1.0e-11,1.0e-19,32,3036
2,1.0e-11,1.0e-19,24,2753
3,1.0e-11,1.0e-19,32,2935
1,1.0e-11,1.0e-18,32,2956
2,1.0e-11,1.0e-18,24,2686
3,1.0e-11,1.0e-18,32,2845
1,1.0e-11,1.0e-17,32,2859
2,1.0e-11,1.0e-17,24,2579
3,1.0e-11,1.0e-17,32,2744
1,1.0e-11,1.0e-16,32,2670
2,1.0e-11,1.0e-16,24,2443
3,1.0e-11,1.0e-16,32,2598
1,1.0e-11,1.0e-15,32,2513
2,1.0e-11,1.0e-15,24,2275
3,1.0e-11,1.0e-15,32,2356
1,1.0e-11,1.0e-14,32,2387
2,1.0e-11,1.0e-14,24,2157
3,1.0e-11,1.0e-14,32,2224
1,1.0e-11,1.0e-13,32,2255
2,1.0e-11,1.0e-13,24,2029
3,1.0e-11,1.0e-13,32,2094
1,1.0e-11,1.0e-12,32,2157
2,1.0e-11,1.0e-12,24,1929
3,1.0e-11,1.0e-12,32,1957
1,1.0e-11,1.0e-11,32,2042
2,1.0e-11,1.0e-11,24,1804
3,1.0e-11,1.0e-11,32,1808
1,1.0e-11,1.0e-10,32,1938
2,1.0e-11,1.0e-10,24,1683
3,1.0e-11,1.0e-10,32,1681
1,1.0e-11,1.0e-9,32,1799
2,1.0e-11,1.0e-9,24,1586
3,1.0e-11,1.0e-9,32,1549
1,1.0e-11,1.0e-8,32,1674
2,1.0e-11,1.0e-8,24,1474
3,1.0e-11,1.0e-8,32,1422
1,1.0e-11,1.0e-7,32,1552
2,1.0e-11,1.0e-7,24,1372
3,1.0e-11,1.0e-7,32,1277
1,1.0e-11,1.0e-6,32,1339
2,1.0e-11,1.0e-6,24,1278
3,1.0e-11,1.0e-6,32,1189
1,1.0e-11,1.0e-5,32,1212
2,1.0e-11,1.0e-5,24,1175
3,1.0e-11,1.0e-5,32,1065
1,1.0e-11,0.0001,33,1057
2,1.0e-11,0.0001,24,1091
3,1.0e-11,0.0001,32,953
1,1.0e-11,0.001,33,891
2,1.0e-11,0.001,24,942
3,1.0e-11,0.001,32,826
1,1.0e-11,0.01,33,715
2,1.0e-11,0.01,24,771
