parameter,find_zero_atol,opt_abstol,optimisation_calls,likelihood_calls
3,1.0e-11,0.0001,24,994
1,1.0e-11,0.001,27,926
2,1.0e-11,0.001,44,1102
3,1.0e-11,0.001,29,998
1,1.0e-11,0.01,28,588
2,1.0e-11,0.01,58,913
3,1.0e-11,0.01,27,933
1,1.0e-10,0.0,26,5586
2,1.0e-10,0.0,25,5989
3,1.0e-10,0.0,23,4926
1,1.0e-10,1.0e-20,26,5586
2,1.0e-10,1.0e-20,25,5989
3,1.0e-10,1.0e-20,23,4926
1,1.0e-10,1.0e-19,26,5586
2,1.0e-10,1.0e-19,25,5989
3,1.0e-10,1.0e-19,23,4926
1,1.0e-10,1.0e-18,26,5586
2,1.0e-10,1.0e-18,25,5989
3,1.0e-10,1.0e-18,23,4926
1,1.0e-10,1.0e-17,26,5586
2,1.0e-10,1.0e-17,25,5989
3,1.0e-10,1.0e-17,23,4926
1,1.0e-10,1.0e-16,26,5586
2,1.0e-10,1.0e-16,25,5989
3,1.0e-10,1.0e-16,23,4926
1,1.0e-10,1.0e-15,26,5586
2,1.0e-10,1.0e-15,25,5989
3,1.0e-10,1.0e-15,23,4926
1,1.0e-10,1.0e-14,26,2382
2,1.0e-10,1.0e-14,25,3079
3,1.0e-10,1.0e-14,23,2086
1,1.0e-10,1.0e-13,26,1901
