θnames,θindices,hullmethod,coverage_median,coverage_mean,coverage_lb,coverage_ub,num_boundary_points,method_key,num_points
"[:δ, :σ]","[3, 7]",ConvexHullMethod(),0.9807692307692307,0.9776133683448409,0.9477415553809897,0.9936132357831726,20,1,20
"[:K, :C01]","[4, 5]",ConvexHullMethod(),0.9800173078436001,0.9809011066281788,0.9636252771618625,1.0,20,1,20
"[:K, :C02]","[4, 6]",ConvexHullMethod(),0.9856431820132154,0.9842143836450642,0.9681520061728395,1.0,20,1,20
"[:K, :σ]","[4, 7]",ConvexHullMethod(),0.9787218045112782,0.979027821929461,0.9643872549019608,0.9942912792158833,20,1,20
"[:C01, :C02]","[5, 6]",ConvexHullMethod(),0.9856262480203815,0.9854668876538243,0.9715334070253009,1.0,20,1,20
"[:C01, :σ]","[5, 7]",ConvexHullMethod(),0.9814196962724344,0.9769524797765008,0.9539473684210527,0.9900510204081633,20,1,20
"[:C02, :σ]","[6, 7]",ConvexHullMethod(),0.980171358629131,0.9786140052581747,0.9632432957636999,0.9928797533401851,20,1,20
"[:λ1, :λ2]","[1, 2]",MPPHullMethod(),0.9959349593495934,0.9908510069490696,0.9756292739706096,1.0,30,1,30
"[:λ1, :δ]","[1, 3]",MPPHullMethod(),1.0,0.9924151587248307,0.9717971289274107,1.0,30,1,30
"[:λ1, :K]","[1, 4]",MPPHullMethod(),0.9888509316770187,0.9864115638997571,0.9670480549199084,1.0,30,1,30
"[:λ1, :C01]","[1, 5]",MPPHullMethod(),1.0,0.9933256123226976,0.972051597051597,1.0,30,1,30
"[:λ1, :C02]","[1, 6]",MPPHullMethod(),1.0,0.9978290340448694,0.9884903429247143,1.0,30,1,30
"[:λ1, :σ]","[1, 7]",MPPHullMethod(),0.989331517421405,0.9880033262312391,0.9767504234895539,1.0,30,1,30
"[:λ2, :δ]","[2, 3]",MPPHullMethod(),0.9904961849293421,0.9881234986918999,0.9645859671302148,1.0,30,1,30
"[:λ2, :K]","[2, 4]",MPPHullMethod(),0.9940795235592923,0.9925214711532542,0.9756183456183456,1.0,30,1,30
"[:λ2, :C01]","[2, 5]",MPPHullMethod(),0.9950369458128079,0.995488719394031,0.9878477795612628,1.0,30,1,30
"[:λ2, :C02]","[2, 6]",MPPHullMethod(),1.0,0.9938949209755057,0.9784885327438518,1.0,30,1,30
"[:λ2, :σ]","[2, 7]",MPPHullMethod(),0.9908400777965995,0.9899200731344227,0.9794908285895003,1.0,30,1,30
"[:δ, :K]","[3, 4]",MPPHullMethod(),0.9925476507092199,0.9904315205701792,0.9763017751479289,1.0,30,1,30
"[:δ, :C01]","[3, 5]",MPPHullMethod(),0.9936430416532128,0.9925768094201051,0.977540867093106,1.0,30,1,30
"[:δ, :C02]","[3, 6]",MPPHullMethod(),0.993714705654831,0.9922102064708938,0.9783564814814815,1.0,30,1,30
"[:δ, :σ]","[3, 7]",MPPHullMethod(),0.9934267241379311,0.9919737183160514,0.9807615091727241,1.0,30,1,30
"[:K, :C01]","[4, 5]",MPPHullMethod(),0.9921210275154838,0.9919313118288864,0.9844810009267841,1.0,30,1,30
"[:K, :C02]","[4, 6]",MPPHullMethod(),0.99307883896925,0.9933657240296148,0.9860963356973995,1.0,30,1,30
"[:K, :σ]","[4, 7]",MPPHullMethod(),0.9934959009536557,0.9921208745836946,0.9807406702208682,1.0,30,1,30
"[:C01, :C02]","[5, 6]",MPPHullMethod(),0.9941946557178434,0.99331460435053,0.9803264041932218,1.0,30,1,30
"[:C01, :σ]","[5, 7]",MPPHullMethod(),0.9905826827224207,0.9904249193935314,0.9818870113176787,1.0,30,1,30
"[:C02, :σ]","[6, 7]",MPPHullMethod(),0.9912669546108964,0.9907660473936011,0.9821371291098636,1.0,30,1,30
"[:λ1, :λ2]","[1, 2]",ConvexHullMethod(),0.9959349593495934,0.9908510069490696,0.9756292739706096,1.0,30,1,30
"[:λ1, :δ]","[1, 3]",ConvexHullMethod(),1.0,0.9924151587248307,0.9717971289274107,1.0,30,1,30
"[:λ1, :K]","[1, 4]",ConvexHullMethod(),0.9888509316770187,0.9864115638997571,0.9670480549199084,1.0,30,1,30
"[:λ1, :C01]","[1, 5]",ConvexHullMethod(),1.0,0.9933256123226976,0.972051597051597,1.0,30,1,30
